iso,cluster,method,k,year
400,4,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
404,4,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
408,8,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
410,6,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
414,9,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
417,0,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
418,0,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
422,0,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
426,2,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
428,9,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
430,7,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
434,0,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
44,3,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
440,6,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
442,6,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
446,5,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
450,1,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
454,7,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
458,6,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
462,5,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
466,7,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
470,9,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
478,7,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
48,4,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
480,3,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
484,6,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
490,6,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
496,7,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
498,0,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
499,5,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
50,4,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
500,8,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
504,4,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
508,3,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
51,0,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
512,9,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
516,3,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
52,5,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
520,8,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
524,0,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
528,6,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
531,2,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
533,2,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
534,2,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
535,8,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
540,5,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
548,2,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
554,4,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
558,1,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
56,6,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
562,2,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
566,4,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
570,8,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
574,8,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
579,6,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
580,8,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
583,8,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
584,2,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
585,8,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
586,9,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
591,3,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
598,5,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
60,2,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
600,1,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
604,4,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
608,9,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
612,8,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
616,6,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
620,6,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
624,2,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
626,2,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
634,4,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
64,7,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
642,6,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
643,6,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
646,7,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
652,8,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
654,8,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
659,2,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
660,8,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
662,2,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
666,8,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
670,2,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
674,8,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
678,8,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
68,1,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
682,6,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
686,3,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
688,9,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
690,2,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
694,7,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
699,6,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
70,4,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
702,6,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
703,6,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
704,6,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
705,6,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
706,2,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
710,6,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
716,3,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
72,3,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
724,6,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
728,2,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
729,7,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
740,5,kmeans_cosine_opportunity(HS6_shares+CAGR+openness),10,2023
